athlete_id,name,matched_university
99358,Cory Carpenter,Carroll College
8710,Fidel LaBarba,Stanford University
78246,Phil Coleman,University of Pennsylvania
95368,Tom Mellor,Boston College
921678,Arthur Wakefield,Trinity College
71505,Noel Carroll,Villanova University
37220,Edward Bevan,Trinity College
78623,Earl Jones,Eastern Michigan University
78086,Tracy Baskin,Seton Hall University
77791,Gwyn Coogan,Smith College
31293,Emil Beyer,United States Military Academy
37417,Guy Nickalls,Magdalen College
65373,Mike Sharpe,University of Florida
82407,Leslie Smith,Middlebury College
902452,George Helfrich,Johns Hopkins University
103092,Sue Bird,University of Connecticut
85344,"Don Dupree, Sr.",Unity College
37344,Banner Johnstone,Trinity College
32937,Melinda Hale,Kansas State University
100488,Larry Dolan,Unity College
6140,Óscar Furlong,Southern Methodist University
77999,Sherron Walker,Seattle Pacific University
32959,Dennis Berkholtz,Kansas State University
44780,Ernest Tippin,University of Chicago
40638,Arthur Evans,Eastern Virginia Medical School
100467,Angela Ruggiero,Harvard University
23753,Greg Massialas,San Jose State University
63364,Kenneth Preston,Trinity College
902464,Bill Logan,Johns Hopkins University
27834,David Vanole,American University
21008,Leslie Marx,Duke University
11289,Jane Bullen,University of the West
53940,Bobby Mitchell,National University
77803,Laura DeSnoo,San Diego State University
84255,Todd Boonstra,University of Vermont
95413,Keith Meyer,Wheaton College
2239,Dennis McComak,Kansas State University
78444,Paul Geis,Rice University
71570,Frank Murphy,Villanova University
56964,Guy Carlton,Eastern Illinois University
78897,Jack Pierce,Morgan State University
51424,Bumpy Jones,Duke University
78081,James Barrineau,University of Georgia
44729,Don Nygord,Oregon State University
35151,James Haley,University of North Florida
11066,Sandy Campbell,Dartmouth College
27753,Mani Hernandez,San Jose State University
11028,Lyn Ashton,The University of the South
92173,Matt Martin,University of Maine
920767,Tibor Gergely,New York University
72305,Herb McKenley,Boston College
11151,Bill Smoke,Michigan State University
594,Joseph Stopford,Trinity College
77945,Maybelle Reichardt,Unity College
53289,Scott Fortune,University of San Diego
17934,Charles Tatham,Trinity College
40699,Aaron Herman,University of Pennsylvania
84891,Jim Craig,Boston University
51127,Michele Mitchell,University of Arizona
54931,Charlie Harris,Pepperdine University
80887,Becky Cremer,Middlebury College
13077,Bunki Bankaitis-Davis,Cleveland State University
79088,George Stanich,Unity College
902402,Al Pfeffer,Unity College
27774,Paul Krumpe,Marymount University
