edition,country_noc,sport,athlete_id,medal
1904 Summer Olympics,USA,Archery,2225,Gold
1904 Summer Olympics,USA,Archery,2255,Silver
1904 Summer Olympics,USA,Archery,2249,Bronze
1904 Summer Olympics,USA,Archery,2256,na
1904 Summer Olympics,USA,Archery,2226,na
1904 Summer Olympics,USA,Archery,2228,na
1904 Summer Olympics,USA,Archery,2236,na
1904 Summer Olympics,USA,Archery,2229,na
1904 Summer Olympics,USA,Archery,2244,na
1904 Summer Olympics,USA,Archery,2247,na
1904 Summer Olympics,USA,Archery,2233,na
1904 Summer Olympics,USA,Archery,2238,na
1904 Summer Olympics,USA,Archery,2246,na
1904 Summer Olympics,USA,Archery,2230,na
1904 Summer Olympics,USA,Archery,2232,na
1904 Summer Olympics,USA,Archery,2227,na
1904 Summer Olympics,USA,Archery,2245,na
1904 Summer Olympics,USA,Archery,2248,na
1904 Summer Olympics,USA,Archery,2224,na
1904 Summer Olympics,USA,Archery,2252,na
1904 Summer Olympics,USA,Archery,2251,na
1904 Summer Olympics,USA,Archery,2250,na
1904 Summer Olympics,USA,Archery,2225,Gold
1904 Summer Olympics,USA,Archery,2255,Silver
1904 Summer Olympics,USA,Archery,2249,Bronze
1904 Summer Olympics,USA,Archery,2226,na
1904 Summer Olympics,USA,Archery,2236,na
1904 Summer Olympics,USA,Archery,2232,na
1904 Summer Olympics,USA,Archery,2247,na
1904 Summer Olympics,USA,Archery,2256,na
1904 Summer Olympics,USA,Archery,2244,na
1904 Summer Olympics,USA,Archery,2229,na
1904 Summer Olympics,USA,Archery,2240,na
1904 Summer Olympics,USA,Archery,2238,na
1904 Summer Olympics,USA,Archery,2245,na
1904 Summer Olympics,USA,Archery,2248,na
1904 Summer Olympics,USA,Archery,2251,na
1904 Summer Olympics,USA,Archery,2224,na
1904 Summer Olympics,USA,Archery,2249,Gold
1904 Summer Olympics,USA,Archery,2255,Gold
1904 Summer Olympics,USA,Archery,2238,Gold
1904 Summer Olympics,USA,Archery,2246,Gold
1904 Summer Olympics,USA,Archery,2256,Silver
1904 Summer Olympics,USA,Archery,2228,Silver
1904 Summer Olympics,USA,Archery,2233,Silver
1904 Summer Olympics,USA,Archery,2230,Silver
1904 Summer Olympics,USA,Archery,2225,Bronze
1904 Summer Olympics,USA,Archery,2226,Bronze
1904 Summer Olympics,USA,Archery,2229,Bronze
1904 Summer Olympics,USA,Archery,2244,Bronze
1904 Summer Olympics,USA,Archery,2236,na
1904 Summer Olympics,USA,Archery,2247,na
1904 Summer Olympics,USA,Archery,2251,na
1904 Summer Olympics,USA,Archery,2224,na
1904 Summer Olympics,USA,Archery,2238,na
1904 Summer Olympics,USA,Archery,2209,Gold
1904 Summer Olympics,USA,Archery,2206,Silver
1904 Summer Olympics,USA,Archery,2215,Bronze
1904 Summer Olympics,USA,Archery,2222,na
1904 Summer Olympics,USA,Archery,2220,na
1904 Summer Olympics,USA,Archery,2219,na
1904 Summer Olympics,USA,Archery,2209,Gold
1904 Summer Olympics,USA,Archery,2206,Silver
1904 Summer Olympics,USA,Archery,2215,Bronze
1904 Summer Olympics,USA,Archery,2222,na
1904 Summer Olympics,USA,Archery,2220,na
1904 Summer Olympics,USA,Archery,2219,na
1904 Summer Olympics,USA,Archery,2209,Gold
1904 Summer Olympics,USA,Archery,2215,Gold
1904 Summer Olympics,USA,Archery,2222,Gold
1904 Summer Olympics,USA,Archery,2219,Gold
1904 Summer Olympics,USA,Archery,2220,na
1904 Summer Olympics,USA,Artistic Gymnastics,29389,Gold
1904 Summer Olympics,USA,Artistic Gymnastics,892192,na
1904 Summer Olympics,USA,Artistic Gymnastics,892379,na
1904 Summer Olympics,USA,Artistic Gymnastics,892194,na
1904 Summer Olympics,USA,Artistic Gymnastics,892295,na
1904 Summer Olympics,USA,Artistic Gymnastics,31382,na
1904 Summer Olympics,USA,Artistic Gymnastics,31445,na
1904 Summer Olympics,USA,Artistic Gymnastics,892236,na
1904 Summer Olympics,USA,Artistic Gymnastics,892016,na
1904 Summer Olympics,USA,Artistic Gymnastics,31295,na
1904 Summer Olympics,USA,Artistic Gymnastics,892378,na
1904 Summer Olympics,USA,Artistic Gymnastics,892052,na
1904 Summer Olympics,USA,Artistic Gymnastics,31383,na
1904 Summer Olympics,USA,Artistic Gymnastics,892144,na
1904 Summer Olympics,USA,Artistic Gymnastics,31354,na
1904 Summer Olympics,USA,Artistic Gymnastics,892238,na
1904 Summer Olympics,USA,Artistic Gymnastics,31329,na
1904 Summer Olympics,USA,Artistic Gymnastics,892185,na
1904 Summer Olympics,USA,Artistic Gymnastics,892083,na
1904 Summer Olympics,USA,Artistic Gymnastics,31298,na
1904 Summer Olympics,USA,Artistic Gymnastics,892300,na
1904 Summer Olympics,USA,Artistic Gymnastics,31277,na
1904 Summer Olympics,USA,Artistic Gymnastics,31444,na
1904 Summer Olympics,USA,Artistic Gymnastics,31461,na
1904 Summer Olympics,USA,Artistic Gymnastics,31337,na
1904 Summer Olympics,USA,Artistic Gymnastics,31356,na
1904 Summer Olympics,USA,Artistic Gymnastics,31381,na
1904 Summer Olympics,USA,Artistic Gymnastics,31425,na
1904 Summer Olympics,USA,Artistic Gymnastics,31391,na
1904 Summer Olympics,USA,Artistic Gymnastics,31314,na
1904 Summer Olympics,USA,Artistic Gymnastics,31466,na
1904 Summer Olympics,USA,Artistic Gymnastics,31442,na
1904 Summer Olympics,USA,Artistic Gymnastics,31419,na
1904 Summer Olympics,USA,Artistic Gymnastics,31291,na
1904 Summer Olympics,USA,Artistic Gymnastics,31340,na
1904 Summer Olympics,USA,Artistic Gymnastics,31293,na
1904 Summer Olympics,USA,Artistic Gymnastics,31344,na
1904 Summer Olympics,USA,Artistic Gymnastics,31436,na
1904 Summer Olympics,USA,Artistic Gymnastics,31334,na
1904 Summer Olympics,USA,Artistic Gymnastics,31478,na
1904 Summer Olympics,USA,Artistic Gymnastics,31424,na
1904 Summer Olympics,USA,Artistic Gymnastics,31310,na
1904 Summer Olympics,USA,Artistic Gymnastics,31441,na
1904 Summer Olympics,USA,Artistic Gymnastics,31347,na
1904 Summer Olympics,USA,Artistic Gymnastics,31397,na
1904 Summer Olympics,USA,Artistic Gymnastics,31369,na
1904 Summer Olympics,USA,Artistic Gymnastics,31389,na
1904 Summer Olympics,USA,Artistic Gymnastics,31433,na
1904 Summer Olympics,USA,Artistic Gymnastics,31361,na
1904 Summer Olympics,USA,Artistic Gymnastics,31360,na
1904 Summer Olympics,USA,Artistic Gymnastics,31457,na
1904 Summer Olympics,USA,Artistic Gymnastics,31355,na
1904 Summer Olympics,USA,Artistic Gymnastics,31407,na
1904 Summer Olympics,USA,Artistic Gymnastics,31365,na
1904 Summer Olympics,USA,Artistic Gymnastics,31342,na
1904 Summer Olympics,USA,Artistic Gymnastics,31339,na
1904 Summer Olympics,USA,Artistic Gymnastics,31431,na
1904 Summer Olympics,USA,Artistic Gymnastics,78482,na
1904 Summer Olympics,USA,Artistic Gymnastics,31333,na
1904 Summer Olympics,USA,Artistic Gymnastics,31338,na
1904 Summer Olympics,USA,Artistic Gymnastics,31460,na
1904 Summer Olympics,USA,Artistic Gymnastics,31312,na
1904 Summer Olympics,USA,Artistic Gymnastics,31426,na
1904 Summer Olympics,USA,Artistic Gymnastics,31390,na
1904 Summer Olympics,USA,Artistic Gymnastics,31382,na
1904 Summer Olympics,USA,Artistic Gymnastics,31465,na
1904 Summer Olympics,USA,Artistic Gymnastics,31350,na
1904 Summer Olympics,USA,Artistic Gymnastics,31439,na
1904 Summer Olympics,USA,Artistic Gymnastics,31373,na
1904 Summer Olympics,USA,Artistic Gymnastics,31278,na
1904 Summer Olympics,USA,Artistic Gymnastics,31477,na
1904 Summer Olympics,USA,Artistic Gymnastics,31458,na
1904 Summer Olympics,USA,Artistic Gymnastics,78371,na
1904 Summer Olympics,USA,Artistic Gymnastics,31403,na
1904 Summer Olympics,USA,Artistic Gymnastics,31421,na
1904 Summer Olympics,USA,Artistic Gymnastics,31349,na
1904 Summer Olympics,USA,Artistic Gymnastics,31317,na
1904 Summer Olympics,USA,Artistic Gymnastics,31289,na
1904 Summer Olympics,USA,Artistic Gymnastics,31380,na
