INSTNM,CITY,STABBR,PREDDEG,ADDR
Alabama A & M University,Normal,AL,3,"4900 Meridian Street"
University of Alabama at Birmingham,Birmingham,AL,3,"Administration Bldg Suite 1070"
Amridge University,Montgomery,AL,3,"1200 Taylor Rd"
University of Alabama in Huntsville,Huntsville,AL,3,"301 Sparkman Dr"
Alabama State University,Montgomery,AL,3,"915 S Jackson Street"
The University of Alabama,Tuscaloosa,AL,3,"739 University Blvd"
Central Alabama Community College,Alexander City,AL,2,"1675 Cherokee Rd"
Athens State University,Athens,AL,3,"300 N Beaty St"
Auburn University at Montgomery,Montgomery,AL,3,"7440 East Drive"
Auburn University,Auburn,AL,3,"Auburn, Alabama"
Birmingham-Southern College,Birmingham,AL,3,"900 Arkadelphia Road"
Chattahoochee Valley Community College,Phenix City,AL,1,"2602 College Drive"
South University-Montgomery,Montgomery,AL,3,"5355 Vaughn Rd"
Enterprise State Community College,Enterprise,AL,2,"600 Plaza Drive"
Coastal Alabama Community College,Bay Minette,AL,2,"1900 U S Highway 31 South"
Faulkner University,Montgomery,AL,3,"5345 Atlanta Hwy"
Gadsden State Community College,Gadsden,AL,2,"1001 George Wallace Dr"
New Beginning College of Cosmetology,Albertville,AL,1,"421 Martling Road"
George C Wallace Community College-Dothan,Dothan,AL,1,"1141 Wallace Drive"
George C Wallace State Community College-Hanceville,Hanceville,AL,1,"801 Main St NW"
George C Wallace State Community College-Selma,Selma,AL,2,"3000 Earl Goodwin Parkway"
Herzing University-Birmingham,Birmingham,AL,1,"280 West Valley Ave"
Huntingdon College,Montgomery,AL,3,"1500 East Fairview Avenue"
Heritage Christian University,Florence,AL,3,"3625 Helton Dr"
J. F. Drake State Community and Technical College,Huntsville,AL,1,"3421 Meridian St N"
J F Ingram State Technical College,Deatsville,AL,1,"5375 Ingram Rd"
Jacksonville State University,Jacksonville,AL,3,"700 Pelham Road North"
Jefferson State Community College,Birmingham,AL,2,"2601 Carson Rd"
John C Calhoun State Community College,Tanner,AL,1,"6250 U S Highway 31 N"
Lawson State Community College,Birmingham,AL,2,"3060 Wilson Rd SW"
University of West Alabama,Livingston,AL,3,"Station One"
Lurleen B Wallace Community College,Andalusia,AL,2,"1000 Dannelly Blvd."
Marion Military Institute,Marion,AL,2,"1101 Washington St"
Miles College,Fairfield,AL,3,"5500 Myron Massey Blvd"
University of Mobile,Mobile,AL,3,"5735 College Parkway"
University of Montevallo,Montevallo,AL,3,"Station 6001"
Northwest-Shoals Community College,Muscle Shoals,AL,1,"800 George Wallace Blvd"
University of North Alabama,Florence,AL,3,"One Harrison Plaza"
Northeast Alabama Community College,Rainsville,AL,1,"138  Highway 35"
Oakwood University,Huntsville,AL,3,"7000 Adventist Blvd NW"
Reid State Technical College,Evergreen,AL,1,"100 and Hwy 83"
Bishop State Community College,Mobile,AL,2,"351 North Broad Street"
Samford University,Birmingham,AL,3,"800 Lakeshore Drive"
Shelton State Community College,Tuscaloosa,AL,2,"9500 Old Greensboro Rd"
Snead State Community College,Boaz,AL,2,"102 Elder Street"
University of South Alabama,Mobile,AL,3,"307 N University Blvd"
Spring Hill College,Mobile,AL,3,"4000 Dauphin St"
Stillman College,Tuscaloosa,AL,3,"3601 Stillman Boulevard"
Talladega College,Talladega,AL,3,"627 West Battle Street"
H Councill Trenholm State Community College,Montgomery,AL,2,"1225 Air Base Blvd"
